group_id,subcategories,suggested_keyword_th
1,"accessories, av accessories, men accessories, cs2-accessories, baby accessories","เครื่องประดับ, อุปกรณ์เสริม AV, เครื่องประดับสำหรับเด็ก, CS2-อุปกรณ์เสริม, เครื่องประดับสำหรับผู้ชาย"
2,"agricultural product, cs2-agricultural product, b2b-agricultural product","สินค้าเกษตร, B2B-สินค้าเกษตร, CS2-สินค้าเกษตร"
3,"b2b-bakery bought in, bakery bought in","B2B-เบเกอรี่ซื้อเข้ามา, เบเกอรี่ซื้อเข้ามา"
4,"b2b-baking needs, baking needs, b2b-cooking needs","ความต้องการการอบขนมแบบ B2B, ความต้องการในการทำอาหารแบบ B2B, ความต้องการในการอบ"
5,"b2b-canned food, canned food","อาหารกระป๋อง B2B, อาหารกระป๋อง"
6,"b2b-chilled convenience, chilled convenience, ws chilled convenience","ความสะดวกสบายแบบ B2B, ความเย็นสบาย, WS เย็นสบาย"
7,"b2b-cold beverage, cold beverage, cp-cold beverage, b2b-hot beverage","เครื่องดื่ม B2B-เย็น, B2B-เครื่องดื่มร้อน, เครื่องดื่มเย็นๆ, ซีพี-เครื่องดื่มเย็น"
8,"b2b-confectionery, confectionery","B2B-ขนมหวาน, ลูกกวาด"
9,"b2b-dairy grocery, dairy grocery, cp-dairy grocery","B2B-ร้านขายของชำผลิตภัณฑ์นม, ซีพี-แดรี่ โกรเซอรี่, ร้านขายของชำผลิตภัณฑ์นม"
10,"b2b-fish+seafood, cs2-fish+seafood, fish+seafood","B2B-ปลา+อาหารทะเล, CS2-ปลา+อาหารทะเล, ปลา+อาหารทะเล"
11,"b2b-food supplement, food supplement, cp-food supplement, cs2-food supplyment","B2B-อาหารเสริม, ซีพี-อาหารเสริม, CS2-การจัดหาอาหาร, อาหารเสริม"
12,"b2b-frozen meat, frozen meat","B2B-เนื้อแช่แข็ง, เนื้อแช่แข็ง"
